연번,도로명주소,상세위치
용산2가동-3,신흥로12길7 남산3호터널 지하보도입구,"지하보도입구 옆, 담장 앞, 주거 상업밀집 지역"
용산2가동-4,신흥로9길 15-11 하임빌 맞은편,주거밀집지역
용산2가동-5,용산구 신흥로 31-13 동광빌라 앞,"전신주옆,  주거밀집 지역"
용산2가동-6,신흥로120 신흥교회 뒤편 담장,주거밀집지역
용산2가동-7,신흥로25가길 6 담장(신흥경로당 위),"담장 앞, 주거밀집지역"
용산2가동-8,신흥로140 대지부동산 옆(일류모터스 뒤),"담장 앞, 주거밀집지역"
용산2가동-9,신흥로45 맞은편 용암한신apt 화단,"상업지역, 화단 앞"
용산2가동-10,소월로30길 31 맞은편 11통입구,"화단 앞, 주거밀집역, 용암초 통학로"
용산2가동-11,신흥로20길19 복된부동산 옆,"담장 앞, 주거밀집지역"
용산2가동-12,신흥로3길 27 원우빌리지 앞,"전신주옆,  경사지, 주거밀집 지역"
용산2가동-13,신흥로25가길 14 소화전 옆,"주거밀집지역, 좁은골목지역"
용산2가동-14,신흥로30길 12 앞,주거밀집지역
용산2가동-15,신흥로3가길 38 소화전,"전신주옆, 담장 앞, 주거밀집지역, 외국인다수거주"
용산2가동-16,신흥로60 진풍빌라트 앞,"신흥로 옆, 주거 상업밀집지역"
용산2가동-17,신흥로7길 19-11 소화전 옆,"담장앞, 전신주옆, 주거밀집지역"
용산2가동-18,신흥로11나길 2-4,"담장앞, 주거밀집지역"
용산2가동-19,신흥로125 큰빛의집 계단,"담장앞, 주거밀집지역"
용산2가동-20,신흥로3나길 19-3,"전신주옆, 주거밀집지역"
용산2가동-21,신흥로15길 18-8 맞은편 해방교회뒤,"담장앞, 전신주옆,  주거밀집 지역"
용산2가동-22,소월로20길 37 맞은편 소화전,주거상업 밀집지역
용산2가동-23,신흥로3가길 36 진성수퍼 옆,"담장옆, 주거밀집지역"
용산2가동-24,소월로30길 14 대용빌라 앞,"경사지, 주거밀집지역"
용산2가동-25,신흥로82 앞 전봇대,"전신주옆, 주거상업밀집지역"
용산2가동-26,신흥로9길 21 앞,주거상업밀집지역
용산2가동-27,신흥로35 미성부동산 옆,상업밀집지역
용산2가동-28,신흥로11길 50 앞 담벼락,"담장, 주거밀집지역, 쓰레기 수거 거점"
남영동-1,한강대로88길 6,쓰레기 수거 거점지역
남영동-2,한강대로76길 18,쓰레기 수거 거점지역
남영동-3,두텁바위로5길 3,전주
남영동-4,한강대로 293,서부약국옆
남영동-5,한강대로92길 20,쓰레기 수거 거점지역
남영동-6,한강대로98가길 12,전주
남영동-7,후암로57길 3,전주
남영동-8,한강대로104가길 4,쓰레기 수거 거점지역
남영동-9,한강대로104길 51,전주
남영동-10,한강대로104마길 43,쓰레기 수거 거점지역
남영동-11,후암로49길 24,전주
남영동-12,후암로57길 26,쓰레기 수거 거점지역
남영동-13,후암로 91-1,쓰레기 수거 거점지역
남영동-14,두텁바위로13,전주
남영동-15,한강대로87길11,지하철 굴다리
남영동-16,한강대로84길11-29,전주
남영동-17,후암로57길55,쓰레기 거점지역
남영동-18,후암로57길 17-9,쓰레기 거점지역
남영동-19,후암로49길 42,쓰레기 거점지역
남영동-20,후암로57길 41,쓰레기 거점지역
남영동-21,후암로57길 17-30,쓰레기 거점지역
남영동-22,한강대로104다길 34,쓰레기 거점지역
남영동-23,한강대로 334,쓰레기 거점지역
남영동-24,한강대로77길 15,쓰레기 거점지역
청파동-1,만리재로36길 9 별관 부근,인근 골목 쓰레기 수거 거점지역
청파동-2,청파로73길 91 동덕성결교회 앞,좁은 언덕길 입구
청파동-3,만리재로24길 19-4 서계공영주차장 밑,주거밀집지역 골목길 및 계단길 초입
청파동-4,효창원로94길 15 청파초등학교 후문 담벼락,"쓰레기 수거 거점지역, 골목길"
청파동-5,효창원로86다길 15 리치빌 위 코너,"주거밀집지역, 골목길"
청파동-6,청파로47나길 32 숙명인재관 앞 헌옷수거함,"주거밀집지역, 골목길"
청파동-7,청파로73길 78 앞,인근 골목 쓰레기 수거 거점지역
청파동-8,청파로85길 33,인근 골목 쓰레기 수거 거점지역
청파동-9,청파로85길 68,인근 골목 쓰레기 수거 거점지역
청파동-10,청파로 373 국립극단 담벼락 쪽 전봇대,인근 골목 쓰레기 수거 거점지역
청파동-11,효창원로104길 13 맞은편 헌옷수거함,인근 골목 쓰레기 수거 거점지역
청파동-12,만리재로24길 19-4,인근 골목 쓰레기 수거 거점지역
청파동-13,효창원로104라길 24,주거밀집지역 골목길 및 계단길 초입
청파동-14,청파로71길 29-12,인근 골목 쓰레기 수거 거점지역
